datetime,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,surface_pressure
2024-01-01T00:00,26.0,90,0.0,1.6,153,1009.4
2024-01-01T01:00,26.0,90,0.0,1.8,307,1008.9
2024-01-01T02:00,24.9,95,0.0,3.3,131,1008.4
2024-01-01T03:00,24.8,96,0.0,4.2,160,1008.4
2024-01-01T04:00,25.0,95,0.0,4.0,190,1008.3
2024-01-01T05:00,25.1,93,0.0,3.9,214,1008.8
2024-01-01T06:00,25.5,90,0.0,1.1,252,1009.4
2024-01-01T07:00,26.1,90,0.0,2.3,198,1010.1
2024-01-01T08:00,27.6,81,0.0,0.0,270,1010.2
2024-01-01T09:00,28.8,75,0.2,1.6,333,1010.7
2024-01-01T10:00,29.7,72,0.1,3.3,13,1010.7
2024-01-01T11:00,30.2,71,0.3,5.7,18,1009.9
2024-01-01T12:00,30.6,73,0.3,10.5,4,1009.2
2024-01-01T13:00,29.9,75,0.2,14.0,337,1008.3
2024-01-01T14:00,29.7,76,1.4,8.9,339,1007.9
2024-01-01T15:00,29.8,75,0.1,8.9,333,1007.3
2024-01-01T16:00,30.1,74,0.0,3.5,294,1007.2
2024-01-01T17:00,25.9,92,7.3,6.3,156,1008.5
2024-01-01T18:00,25.9,91,0.3,3.1,135,1008.8
2024-01-01T19:00,25.4,91,1.8,4.6,129,1009.3
2024-01-01T20:00,25.9,92,0.1,8.4,190,1009.6
2024-01-01T21:00,25.2,96,0.0,12.1,113,1010.8
2024-01-01T22:00,25.0,94,0.2,10.3,126,1010.6
2024-01-01T23:00,25.0,93,0.0,6.8,93,1010.4
2024-01-02T00:00,24.9,93,0.0,4.7,81,1009.2
2024-01-02T01:00,24.8,94,0.0,6.1,118,1008.7
2024-01-02T02:00,24.6,94,0.0,4.6,135,1008.3
2024-01-02T03:00,24.4,95,0.0,2.2,99,1008.5
2024-01-02T04:00,24.5,93,0.0,4.2,160,1008.0
2024-01-02T05:00,24.5,94,0.0,3.3,174,1008.1
2024-01-02T06:00,24.6,94,0.0,4.4,189,1008.6
2024-01-02T07:00,25.3,91,0.0,2.2,189,1009.5
2024-01-02T08:00,27.3,84,0.0,1.5,135,1009.6
2024-01-02T09:00,28.9,76,0.0,1.8,11,1009.4
2024-01-02T10:00,30.1,71,0.0,2.9,7,1009.1
2024-01-02T11:00,30.7,67,0.0,8.8,19,1008.8
2024-01-02T12:00,31.0,67,0.0,12.1,12,1008.1
2024-01-02T13:00,30.5,69,0.0,10.6,10,1007.2
2024-01-02T14:00,30.2,70,0.0,10.2,10,1006.1
2024-01-02T15:00,30.1,74,0.1,9.6,13,1005.9
2024-01-02T16:00,29.6,76,0.1,9.3,28,1005.6
2024-01-02T17:00,28.5,79,0.1,7.6,25,1006.2
2024-01-02T18:00,28.3,80,0.2,2.9,7,1007.2
2024-01-02T19:00,26.7,90,2.3,8.0,95,1008.2
2024-01-02T20:00,27.5,86,0.2,7.1,336,1008.9
2024-01-02T21:00,26.7,89,1.1,5.9,104,1009.6
2024-01-02T22:00,26.3,92,1.2,6.0,115,1009.8
2024-01-02T23:00,25.7,94,2.7,8.7,97,1010.0
2024-01-03T00:00,25.4,94,0.3,4.4,99,1009.6
2024-01-03T01:00,25.3,96,0.2,4.0,85,1008.9
2024-01-03T02:00,24.7,97,0.6,6.1,152,1008.7
2024-01-03T03:00,24.2,96,4.6,9.9,136,1008.6
2024-01-03T04:00,24.1,97,3.4,10.7,135,1008.6
2024-01-03T05:00,24.3,95,0.2,5.1,135,1008.7
2024-01-03T06:00,24.0,95,0.4,9.7,117,1009.3
2024-01-03T07:00,24.2,95,1.6,6.7,144,1010.3
2024-01-03T08:00,24.5,96,6.5,7.1,139,1010.9
2024-01-03T09:00,24.7,95,3.2,4.3,156,1011.1
2024-01-03T10:00,24.8,94,2.8,6.8,183,1010.8
2024-01-03T11:00,25.6,90,1.2,4.2,211,1009.8
2024-01-03T12:00,27.2,84,0.8,5.2,254,1009.2
2024-01-03T13:00,27.8,80,0.3,6.5,267,1008.2
2024-01-03T14:00,28.0,78,0.1,8.4,263,1007.4
2024-01-03T15:00,28.3,77,0.0,8.4,263,1006.8
2024-01-03T16:00,28.3,78,0.0,8.6,268,1006.5
2024-01-03T17:00,28.3,78,0.0,8.1,257,1006.6
2024-01-03T18:00,27.5,82,0.0,7.7,259,1007.3
2024-01-03T19:00,26.7,88,0.0,8.8,261,1008.4
2024-01-03T20:00,26.4,92,0.0,3.7,259,1009.1
2024-01-03T21:00,26.6,91,0.0,6.1,273,1009.1
2024-01-03T22:00,26.3,93,0.0,9.5,259,1009.5
2024-01-03T23:00,26.1,93,0.0,7.8,257,1009.5
2024-01-04T00:00,25.8,94,0.0,12.1,240,1008.3
2024-01-04T01:00,24.2,94,2.8,14.5,284,1008.8
2024-01-04T02:00,24.3,94,1.5,8.1,283,1007.9
2024-01-04T03:00,24.5,92,0.8,9.0,265,1007.8
2024-01-04T04:00,24.2,94,1.1,9.9,289,1008.3
2024-01-04T05:00,23.8,95,3.0,11.4,246,1008.8
2024-01-04T06:00,24.1,94,1.0,10.8,249,1009.2
2024-01-04T07:00,24.4,94,0.7,10.0,244,1010.3
2024-01-04T08:00,25.1,93,2.2,14.8,273,1010.7
2024-01-04T09:00,25.4,93,2.3,13.2,253,1010.5
2024-01-04T10:00,26.3,91,0.6,9.4,252,1010.6
2024-01-04T11:00,26.5,91,0.9,5.4,278,1010.2
2024-01-04T12:00,27.1,91,1.1,6.9,309,1009.7
2024-01-04T13:00,27.8,86,0.7,9.0,331,1008.8
2024-01-04T14:00,27.7,82,0.8,13.0,336,1008.2
2024-01-04T15:00,26.5,90,2.2,9.9,314,1008.3
2024-01-04T16:00,26.3,95,1.3,9.2,296,1008.6
2024-01-04T17:00,25.4,94,2.9,5.8,274,1009.4
2024-01-04T18:00,24.8,96,3.4,2.9,270,1010.3
2024-01-04T19:00,25.0,95,3.7,5.9,223,1010.7
2024-01-04T20:00,24.0,95,2.1,6.6,189,1011.4
2024-01-04T21:00,24.0,95,3.9,5.9,191,1011.7
2024-01-04T22:00,23.9,95,3.3,4.1,195,1011.6
